2026-01-04T02:37:30.789794, KXSPOTIFYD-26JAN03-END, Buy YES (spotify_playlist_delta_v1), Success, SPOTIFY, , 99, 1
2026-01-04T02:37:42.274518, KXSPOTIFYGLOBALD-26JAN03-END, Buy YES (spotify_playlist_delta_v1), Success, SPOTIFY, , 99, 1
2026-01-04T21:11:49.185895, KXSPOTIFYD-26JAN04-END, Buy YES (spotify_playlist_delta_v1), Success, SPOTIFY, , 99, 1
2026-01-04T21:12:00.710187, KXSPOTIFYGLOBALD-26JAN04-END, Buy YES (spotify_playlist_delta_v1), Success, SPOTIFY, , 99, 1
2026-01-05T21:13:31.198813, KXSPOTIFYD-26JAN05-END, Buy YES (spotify_playlist_delta_v1), Success, SPOTIFY, , 99, 1
2026-01-05T21:13:42.279336, KXSPOTIFYGLOBALD-26JAN05-END, Buy YES (spotify_playlist_delta_v1), Success, SPOTIFY, , 99, 1
2026-01-06T21:14:10.709314, KXSPOTIFYD-26JAN06-END, Buy YES (spotify_playlist_delta_v1), Success, SPOTIFY, , 99, 1
2026-01-06T21:14:22.083541, KXSPOTIFYGLOBALD-26JAN06-END, Buy YES (spotify_playlist_delta_v1), Success, SPOTIFY, , 99, 1
2026-01-07T21:13:19.484375, KXSPOTIFYD-26JAN07-END, Buy YES (spotify_playlist_delta_v1), Success, SPOTIFY, , 99, 1
2026-01-07T21:13:30.428900, KXSPOTIFYGLOBALD-26JAN07-END, Buy YES (spotify_playlist_delta_v1), Success, SPOTIFY, , 99, 1
2026-01-08T21:17:32.971507, kxspotifyd-26jan08, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-08T21:17:33.922484, kxspotifyglobald-26jan08, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-09T21:13:54.597942, kxspotifyd-26jan09, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-09T21:13:55.636153, kxspotifyglobald-26jan09, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-10T21:11:29.545627, kxspotifyd-26jan10, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-10T21:11:31.212161, kxspotifyglobald-26jan10, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-11T21:11:43.431573, kxspotifyd-26jan11, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-11T21:11:44.777754, kxspotifyglobald-26jan11, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-12T21:13:26.055996, kxspotifyd-26jan12, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-12T21:13:26.906189, kxspotifyglobald-26jan12, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-13T21:14:19.128554, kxspotifyd-26jan13, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-13T21:14:20.038640, kxspotifyglobald-26jan13, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-14T21:13:37.498941, kxspotifyd-26jan14, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-14T21:13:38.402606, kxspotifyglobald-26jan14, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-15T21:14:03.614819, kxspotifyd-26jan15, NO TRADE, No open markets found for event, SPOTIFY, , , 
2026-01-15T21:14:04.447512, kxspotifyglobald-26jan15, NO TRADE, No open markets found for event, SPOTIFY, , , 
